intent,text
ok, ok
ok, okay
ok, sure
ok, yes
ok, alright
ok, absolutely
ok, of course
ok, definitely
ok, sounds good
ok, I agree
ok, kk
ok, okk
ok, okayyy
ok, okey
ok, k
ok, okayyy
thanking, thank you
thanking, thanks
thanking, thanks a lot
thanking, thank you very much
thanking, I appreciate it
thanking, many thanks
thanking, thanks a ton
thanking, I owe you one
thanking, I can't thank you enough
thanking, I'm grateful
thanking, I appreciate your help
thanking, thanks for your assistance
thanking, thank you for your help
thanking, thanks for your support
thanking, I really appreciate it
thanking, thanks for everything
thanking, I appreciate your assistance
thanking, thank you for your support
thanking, thanks for your help
thanking, I appreciate your time
thanking, thank you for your assistance
greet,hi
greet,hello
greet,hey
greet,good morning
greet,good evening
greet,howdy
greet,hey there
greet,what's up
greet,yo
greet,hi there
greet,greetings
greet,sup
greet,hello there
greet,hiya
greet,hi!
greet,hello!
greet,hey!
greet,morning
greet,afternoon
greet,evening
faq_hours,what are your working hours
faq_hours,when are you open
faq_hours,are you open today
faq_hours,what time do you open
faq_hours,what time do you close
faq_hours,store hours
faq_hours,business hours
faq_hours,is your shop open now
faq_hours,timings of your store
faq_hours,when does your office open
faq_hours,opening and closing time
faq_hours,hours of operation
faq_hours,working hours for today
faq_hours,shop opening hours
faq_hours,what is your office timing
faq_hours,what are your hours
faq_hours,is the store open now
faq_hours,today's working hours
faq_hours,when do you close on weekends
faq_hours,when do you open on Monday
faq_returns,how do I return an item
faq_returns,what is your return policy
faq_returns,can I return this
faq_returns,how to send a product back
faq_returns,can I get a refund
faq_returns,how long do returns take
faq_returns,do you accept returns
faq_returns,how can I send this back
faq_returns,do you allow product returns
faq_returns,return policy details
faq_returns,I want to return something
faq_returns,returning an order
faq_returns,is return free
faq_returns,do I pay for return shipping
faq_returns,return instructions
faq_returns,can I exchange my item
faq_returns,exchange policy
faq_returns,how to exchange a product
faq_returns,I received a defective product
faq_returns,what happens if I return late
faq_shipping,do you offer international shipping
faq_shipping,can you ship overseas
faq_shipping,how long does shipping take
faq_shipping,what are the shipping options
faq_shipping,shipping cost to Canada
faq_shipping,do you ship to Europe
faq_shipping,delivery time for orders
faq_shipping,how fast is delivery
faq_shipping,can I get next-day delivery
faq_shipping,how do you deliver
faq_shipping,are deliveries insured
faq_shipping,delivery method
faq_shipping,do you offer express shipping
faq_shipping,can I schedule delivery
faq_shipping,who is your delivery partner
faq_shipping,is delivery free
faq_shipping,how much is shipping
faq_shipping,what's your delivery policy
faq_shipping,will I get a tracking number
faq_shipping,do you ship on weekends
faq_payment,what payment methods do you accept
faq_payment,can I pay with PayPal
faq_payment,do you accept credit cards
faq_payment,how can I pay
faq_payment,is cash on delivery available
faq_payment,do you offer EMI
faq_payment,do you take Apple Pay
faq_payment,is payment secure
faq_payment,can I use Google Pay
faq_payment,do you accept debit cards
faq_payment,what cards are accepted
faq_payment,can I use UPI
faq_payment,is COD available
faq_payment,do you support Klarna
faq_payment,can I split my payment
faq_payment,can I pay in installments
faq_payment,do you support net banking
faq_payment,how do I pay
faq_payment,are there extra charges for PayPal
faq_payment,what is the payment process
order_status,where is my order
order_status,track order 12345
order_status,what's the status of my order
order_status,order 67890
order_status,check my order
order_status,can you check order 22222
order_status,find my order status
order_status,order tracking
order_status,update on my order
order_status,when will my package arrive
order_status,how long until delivery
order_status,has my order shipped
order_status,is my order on the way
order_status,delivery status
order_status,what's happening with my order
order_status,can you track my order
order_status,give me the status of order 33333
order_status,has my order left the warehouse
order_status,I want to know my order status
order_status,order status update please
human_help,I want to talk to someone
human_help,connect me to support
human_help,this isn't helpful
human_help,I need human help
human_help,can you transfer me to an agent
human_help,I want to speak to a human
human_help,get me a support rep
human_help,this is too confusing
human_help,someone help me please
human_help,talk to customer support
human_help,I need assistance
human_help,help me with this
human_help,speak with a representative
human_help,human agent please
human_help,can you call me
human_help,please connect me
human_help,I need real help
human_help,get me a human being
human_help,speak to someone
human_help,this is not working
